GAME_ID,game_number,H_A,team_name,player_id,person_id,name,birth_date,birthdate_year,OA,homeprov,homecntry,jersey_number,position_str,shots,goals,assists,points,primarypoints,5v5primarypoints,EVprimarypoints,plusminus,hits,pim,5v5_G,5v5_A1,5v5_A2,EV_G,EV_A1,EV_A2,PP_G,PP_A1,PP_A2,SH_G,SH_A1,SH_A2,5v5_GF,5v5_GA,5v5_GF%,faceoff_wins,faceoff_attempts
1021202,1,H,Brandon Wheat Kings,29720,10363,Dylan Ronald,2006-11-09,2006,0,AB,,5,LD,1,0,0,0,0.0,0.0,0.0,-1,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.3333333333333333,0,0
1021202,1,H,Brandon Wheat Kings,28838,9246,Quinn Mantei,2005-04-23,2005,0,SK,,8,LD,1,0,3,3,0.0,0.0,1.0,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1021202,1,H,Brandon Wheat Kings,29444,10016,Jaxon Jacobson,2008-12-11,2008,0,MB,,9,C,6,0,0,0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6,18
1021202,1,H,Brandon Wheat Kings,29221,9720,Caleb Hadland,2006-03-06,2006,0,AB,,10,LW,3,0,1,1,0.0,0.0,0.0,2,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
1021202,1,H,Brandon Wheat Kings,29561,10169,Nigel Boehm,2008-09-22,2008,0,SK,,12,LD,0,0,1,1,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1021202,1,H,Brandon Wheat Kings,29112,9601,Roger McQueen,2006-10-02,2006,0,SK,,13,C,6,4,0,4,0.0,1.0,3.0,3,0,0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7,12
1021202,1,H,Brandon Wheat Kings,29721,10364,Adam Belusko,2006-04-12,2006,0,,Slovakia,14,D,2,0,0,0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1021202,1,H,Brandon Wheat Kings,29219,9718,Joby Baumuller,2007-07-20,2007,0,SK,,17,RW,3,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1021202,1,H,Brandon Wheat Kings,28381,8702,Rylen Roersma,2004-07-25,2004,OA,AB,,18,LW,3,1,0,1,0.0,0.0,1.0,-1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,3
1021202,1,H,Brandon Wheat Kings,29223,9722,Carter Klippenstein,2006-11-25,2006,0,AB,,19,LW,2,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1
1021202,1,H,Brandon Wheat Kings,28800,9194,Luke Shipley,2004-08-08,2004,OA,BC,,27,RD,6,0,1,1,0.0,0.0,1.0,2,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
1021202,1,H,Brandon Wheat Kings,28848,9256,Rhett Ravndahl,2005-02-26,2005,0,SK,,55,RD,1,0,1,1,0.0,0.0,1.0,-1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0
1021202,1,H,Brandon Wheat Kings,29099,9583,Nicholas Johnson,2005-01-20,2005,0,AB,,62,RW,6,0,0,0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,3
1021202,1,H,Brandon Wheat Kings,29601,10219,Brady Turko,2007-09-12,2007,0,MB,,71,RW,2,0,1,1,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,1
1021202,1,H,Brandon Wheat Kings,28763,9132,Marcus Nguyen,2004-08-02,2004,OA,AB,,72,RW,1,0,2,2,0.0,1.0,1.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.3333333333333333,0,0
